"Subject","Start Date","All day event","Description","Show time as"
"CW ","12/12/2023",TRUE,"https://almanac.oremus.org/2023-12-12

Holy Communion
Isaiah 40.1-11
Psalm 96.1, 10-end
Matthew 18.12-14

Morning Prayer
Psalms 56, 57 (or) 32, 36
Isaiah 30.19-end
Matthew 14.13-end

Evening Prayer
Psalms 11, 12, 13 (or) 33
Isaiah 46
1 Thessalonians 2.1-12

Additional Weekday Lectionary
Daniel 7.9-14
Matthew 24.15-28

",3
"CW Lucy, 304; Samuel Johnson, 1784","13/12/2023",TRUE,"Lucy, Martyr at Syracuse, 304
Samuel Johnson, Moralist, 1784

https://almanac.oremus.org/2023-12-13

Exciting Holiness
Isaiah 60.19, 20
Psalm 36.5, 6a, 7-11
2 Corinthians 4.6-15
Luke 11.33-36

Holy Communion
Isaiah 40.25-end
Psalm 103.8-13
Matthew 11.28-end

Morning Prayer
Psalms 62, 63 (or) 34
Isaiah 31
Matthew 15.1-20

Evening Prayer
Psalms 10, 14 (or) 119.33-56
Isaiah 47
1 Thessalonians 2.13-end

Additional Weekday Lectionary
Amos 9.11-end
Romans 13.8-14

",3
"CW Ember Day","13/12/2023",TRUE,"Ember Day

The following readings are suitable for use on Ember Days:
Numbers 11.16, 17, 24-29 or 
Numbers 27.15-end or 
1 Samuel 16.1-13a or 
Isaiah 6.1-8 or 
Isaiah 61.1-3 or 
Jeremiah 1.4-10

Psalm 40.8-13 or 
Psalm 84.8-12 or 
Psalm 89.19-25 or 
Psalm 101.1-5, 7 or 
Psalm 122

Acts 20.28-35 or 
1 Corinthians 3.3-11 or 
Ephesians 4.4-16 or 
Philippians 3.7-14

Luke 4.16-21 or 
Luke 12.35-43 or 
Luke 22.24-27 or 
John 4.31-38 or 
John 15.5-17

",3
"CW John of the Cross, 1591","14/12/2023",TRUE,"John of the Cross, Poet, Teacher of the Faith, 1591

https://almanac.oremus.org/2023-12-14

Exciting Holiness
Song of Songs 2.8-end
Psalm 121.1-4, 7, 8
1 Corinthians 2.1-10
John 14.18-23

Holy Communion
Isaiah 41.13-20
Psalm 145.1, 8-13
Matthew 11.11-15

Morning Prayer
Psalms 53, 54, 60 (or) 37*
Isaiah 32
Matthew 15.21-28

Evening Prayer
Psalm 73 (or) 39, 40
Isaiah 48.1-11
1 Thessalonians 3

Additional Weekday Lectionary
Jeremiah 23.5-8
Mark 11.1-11

",3
"CW ","15/12/2023",TRUE,"https://almanac.oremus.org/2023-12-15

Holy Communion
Isaiah 48.17-19
Psalm 1
Matthew 11.16-19

Morning Prayer
Psalms 85, 86 (or) 31
Isaiah 33.1-22
Matthew 15.29-end

Evening Prayer
Psalms 82, 90 (or) 35
Isaiah 48.12-end
1 Thessalonians 4.1-12

Additional Weekday Lectionary
Jeremiah 33.14-22
Luke 21.25-36

",3
"CW Ember Day","15/12/2023",TRUE,"Ember Day

The following readings are suitable for use on Ember Days:
Numbers 11.16, 17, 24-29 or 
Numbers 27.15-end or 
1 Samuel 16.1-13a or 
Isaiah 6.1-8 or 
Isaiah 61.1-3 or 
Jeremiah 1.4-10

Psalm 40.8-13 or 
Psalm 84.8-12 or 
Psalm 89.19-25 or 
Psalm 101.1-5, 7 or 
Psalm 122

Acts 20.28-35 or 
1 Corinthians 3.3-11 or 
Ephesians 4.4-16 or 
Philippians 3.7-14

Luke 4.16-21 or 
Luke 12.35-43 or 
Luke 22.24-27 or 
John 4.31-38 or 
John 15.5-17

",3
"CW ","16/12/2023",TRUE,"https://almanac.oremus.org/2023-12-16

Holy Communion
Ecclesiasticus 48.1-4, 9-11 or 
2 Kings 2.9-12
Psalm 80.1-4, 18-19
Matthew 17.10-13

Morning Prayer
Psalm 145 (or) 41, 42, 43
Isaiah 35
Matthew 16.1-12

Evening Prayer
Psalms 93, 94 (or) 45, 46
Isaiah 49.1-13
1 Thessalonians 4.13-end

Additional Weekday Lectionary
Zechariah 14.4-11
Revelation 22.1-7

",3
"CW Ember Day","16/12/2023",TRUE,"Ember Day

The following readings are suitable for use on Ember Days:
Numbers 11.16, 17, 24-29 or 
Numbers 27.15-end or 
1 Samuel 16.1-13a or 
Isaiah 6.1-8 or 
Isaiah 61.1-3 or 
Jeremiah 1.4-10

Psalm 40.8-13 or 
Psalm 84.8-12 or 
Psalm 89.19-25 or 
Psalm 101.1-5, 7 or 
Psalm 122

Acts 20.28-35 or 
1 Corinthians 3.3-11 or 
Ephesians 4.4-16 or 
Philippians 3.7-14

Luke 4.16-21 or 
Luke 12.35-43 or 
Luke 22.24-27 or 
John 4.31-38 or 
John 15.5-17

",3
"CW* Advent 3","17/12/2023",TRUE,"The Third Sunday of Advent

https://almanac.oremus.org/2023-12-17

Principal Service
Isaiah 61.1-4, 8-11
Psalm 126 or 
Canticle: Magnificat
1 Thessalonians 5.16-24
John 1.6-8, 19-28

Third Service
Psalms 50.1-6, 62
Isaiah 12
Luke 1.57-66

Second Service
Psalm 68.1-19*
Malachi 3.1-4; 4
Philippians 4.4-7
Gospel at Holy Communion:
Matthew 14.1-12

",3
"CW ","18/12/2023",TRUE,"https://almanac.oremus.org/2023-12-18

Holy Communion
Jeremiah 23.5-8
Psalm 72.1-2, 12-13, 18-end
Matthew 1.18-24

Morning Prayer
Psalm 40 (or) 44
Isaiah 38.1-8, 21-22
Matthew 16.13-end

Evening Prayer
Psalms 25, 26 (or) 47, 49
Isaiah 49.14-25
1 Thessalonians 5.1-11

Additional Weekday Lectionary
Exodus 3.1-6
Acts 7.20-36

",3
"CW ","19/12/2023",TRUE,"https://almanac.oremus.org/2023-12-19

Holy Communion
Judges 13.2-7, 24-end
Psalm 71.3-8
Luke 1.5-25

Morning Prayer
Psalms 144, 146
Isaiah 38.9-20
Matthew 17.1-13

Evening Prayer
Psalms 10, 57
Isaiah 50
1 Thessalonians 5.12-end

Additional Weekday Lectionary
Isaiah 11.1-9
Romans 15.7-13

",3
"CW ","20/12/2023",TRUE,"https://almanac.oremus.org/2023-12-20

Holy Communion
Isaiah 7.10-14
Psalm 24.1-6
Luke 1.26-38

Morning Prayer
Psalms 46, 95
Isaiah 39
Matthew 17.14-21

Evening Prayer
Psalms 4, 9
Isaiah 51.1-8
2 Thessalonians 1

Additional Weekday Lectionary
Isaiah 22.21-23
Revelation 3.7-13

",3
"CW ","21/12/2023",TRUE,"https://almanac.oremus.org/2023-12-21

Holy Communion
Zephaniah 3.14-18
Psalm 33.1-4, 11, 12, 20-end
Luke 1.39-45

Morning Prayer
Psalms 121, 122, 123
Zephaniah 1.1 - 2.3
Matthew 17.22-end

Evening Prayer
Psalms 80, 84
Isaiah 51.9-16
2 Thessalonians 2

Additional Weekday Lectionary
Numbers 24.15b-19
Revelation 22.10-21

",3
"CW ","22/12/2023",TRUE,"https://almanac.oremus.org/2023-12-22

Holy Communion
1 Samuel 1.24-end
Psalm 113
Luke 1.46-56

Morning Prayer
Psalms 124, 125, 126, 127
Zephaniah 3.1-13
Matthew 18.1-20

Evening Prayer
Psalms 24, 48
Isaiah 51.17-end
2 Thessalonians 3

Additional Weekday Lectionary
Jeremiah 30.7-11a
Acts 4.1-12

",3
"CW ","23/12/2023",TRUE,"https://almanac.oremus.org/2023-12-23

Holy Communion
Malachi 3.1-4, 4.5-end
Psalm 25.3-9
Luke 1.57-66

Morning Prayer
Psalms 128, 129, 130, 131
Zephaniah 3.14-end
Matthew 18.21-end

Evening Prayer
Psalm 89.1-37
Isaiah 52.1-12
Jude

Additional Weekday Lectionary
Isaiah 7.10-15
Matthew 1.18-23

",3
"CW* Advent 4","24/12/2023",TRUE,"The Fourth Sunday of Advent

https://almanac.oremus.org/2023-12-24

Principal Service
2 Samuel 7.1-11, 16
Canticle: Magnificat or 
Psalm 89.1-4, 19-26*
Romans 16.25-27
Luke 1.26-38

Third Service
Psalm 144
Isaiah 7.10-16
Romans 1.1-7

Evening Prayer of Christmas Eve
Psalm 85
Zechariah 2
Revelation 1.1-8

",3
"CW* Christmas Day","25/12/2023",TRUE,"Christmas Day

https://almanac.oremus.org/2023-12-25

Principal Feast

Any of the following sets of readings may be used on Christmas Night and on Christmas Day. Set III should be used at some service during the celebration.
Principal Service
I
Isaiah 9.2-7
Psalm 96
Titus 2.11-14
Luke 2.1-14 [15-20]

II
Isaiah 62.6-12
Psalm 97
Titus 3.4-7
Luke 2.[1-7] 8-20

III
Isaiah 52.7-10
Psalm 98
Hebrews 1.1-4 [5-12]
John 1.1-14

Third Service
Isaiah 62.1-5
Matthew 1.18-25
Morning Psalms
Psalms 110, 117

Second Service
Isaiah 65.17-end
Philippians 2.5-11 or 
Luke 2.1-20 if it has not been used at the principal service of the day
Evening Psalm
Psalm 8

",3
"CW* Stephen","26/12/2023",TRUE,"Stephen, Deacon, First Martyr

https://almanac.oremus.org/2023-12-26

Principal Service
2 Chronicles 24.20-22
Psalm 119.161-168
Acts 7.51-60
Matthew 10.17-22

(or)
Acts 7.51-60
Psalm 119.161-168
Galatians 2.16b-20
Matthew 10.17-22

Third Service
Jeremiah 26.12-15
Acts 6
Morning Psalms
Psalms 13, 31.1-8, 150.1-end

Second Service
Genesis 4.1-10
Matthew 23.34-39
Evening Psalms
Psalms 57, 86

",3
"CW* John","27/12/2023",TRUE,"John, Apostle and Evangelist

https://almanac.oremus.org/2023-12-27

Principal Service
Exodus 33.7-11a
Psalm 117
1 John 1
John 21.19b-25

Third Service
Exodus 33.12-23
1 John 2.1-11
Morning Psalms
Psalms 21, 147.13-end

Second Service
Isaiah 6.1-8
1 John 5.1-12
Evening Psalm
Psalm 97

",3
"CW* Holy Innocents","28/12/2023",TRUE,"The Holy Innocents

https://almanac.oremus.org/2023-12-28

Principal Service
Jeremiah 31.15-17
Psalm 124
1 Corinthians 1.26-29
Matthew 2.13-18

Third Service
Baruch 4.21-27 or 
Genesis 37.13-20
Matthew 18.1-10
Morning Psalms
Psalms 36, 146

Second Service
Isaiah 49.14-25
Mark 10.13-16
Evening Psalms
Psalms 123, 128

",3
"CW Thomas Becket, 1170","29/12/2023",TRUE,"Thomas Becket, Archbishop of Canterbury, Martyr, 1170

https://almanac.oremus.org/2023-12-29

Exciting Holiness
Ecclesiasticus 51.1-8
Psalm 54.1-4, 6, 7
Hebrews 13.10-16
Matthew 10.28-33

Holy Communion
1 John 2.3-11
Psalm 96.1-4
Luke 2.22-35

Morning Prayer
Psalms 19, 20
Jonah 1
Colossians 1.1-14

Evening Prayer
Psalms 131, 132
Isaiah 57.15-end
John 1.1-18

Additional Weekday Lectionary
Micah 1.1-4, 2.12-13
Luke 2.1-7

",3
"CW ","30/12/2023",TRUE,"https://almanac.oremus.org/2023-12-30

Holy Communion
1 John 2.12-17
Psalm 96.7-10
Luke 2.36-40

Morning Prayer
Psalms 111, 112, 113
Jonah 2
Colossians 1.15-23

Evening Prayer
Psalms 65, 84
Isaiah 59.1-15a
John 1.19-28

Additional Weekday Lectionary
Isaiah 9.2-7
John 8.12-20

",3
"CW* Christmas 1","31/12/2023",TRUE,"The First Sunday of Christmas

https://almanac.oremus.org/2023-12-31

Principal Service
Isaiah 61.10 - 62.3
Psalm 148*
Galatians 4.4-7
Luke 2.15-21

Third Service
Psalm 105.1-11
Isaiah 63.7-9
Ephesians 3.5-12

Second Service
Psalm 132
Isaiah 35
Colossians 1.9-20 or 
Luke 2.41-52

(or) Evening Prayer on the Eve of the Naming and Circumcision
Psalm 148
Jeremiah 23.1-6
Colossians 2.8-15

",3
"CW* Naming and Circumcision of Jesus","01/01/2024",TRUE,"The Naming and Circumcision of Jesus

https://almanac.oremus.org/2024-01-01

Principal Service
Numbers 6.22-27
Psalm 8
Galatians 4.4-7
Luke 2.15-21

Third Service
Genesis 17.1-13
Romans 2.17-29
Morning Psalms
Psalms 103, 150

Second Service
Deuteronomy 30.[1-10] 11-end
Acts 3.1-16
Evening Psalm
Psalm 115

",3
"CW Basil the Great and Gregory of Nazianzus, 379 and 389; Seraphim, 1833; Vedanayagam Samuel Azariah, 1945","02/01/2024",TRUE,"Basil the Great and Gregory of Nazianzus, Bishops, Teachers of the Faith, 379 and 389
Seraphim, Monk of Sarov, Spiritual Guide, 1833
Vedanayagam Samuel Azariah, Bishop in South India, Evangelist, 1945

https://almanac.oremus.org/2024-01-02

Exciting Holiness
Wisdom 7.15-22a
Psalm 27.1-5, 10-12
2 Timothy 4.1-8
Matthew 5.13-19

Holy Communion
1 John 2.22-28
Psalm 98.1-4
John 1.19-28

Morning Prayer
Psalm 18.1-30
Ruth 1
Colossians 2.8-end

Evening Prayer
Psalms 45, 46
Isaiah 60.1-12
John 1.35-42

Additional Weekday Lectionary
Isaiah 66.6-14
Matthew 12.46-50

",3
"CW ","03/01/2024",TRUE,"https://almanac.oremus.org/2024-01-03

Holy Communion
1 John 2.29 - 3.6
Psalm 98.2-7
John 1.29-34

Morning Prayer
Psalms 127, 128, 131
Ruth 2
Colossians 3.1-11

Evening Prayer
Psalms 2, 110
Isaiah 60.13-end
John 1.43-end

Additional Weekday Lectionary
Deuteronomy 6.4-15
John 10.31-end

",3
"CW ","04/01/2024",TRUE,"https://almanac.oremus.org/2024-01-04

Holy Communion
1 John 3.7-10
Psalm 98.1, 8-end
John 1.35-42

Morning Prayer
Psalm 89.1-37
Ruth 3
Colossians 3.12 - 4.1

Evening Prayer
Psalms 85, 87
Isaiah 61
John 2.1-12

Additional Weekday Lectionary
Isaiah 63.7-16
Galatians 3.23 - 4.7

",3
"CW ","05/01/2024",TRUE,"https://almanac.oremus.org/2024-01-05

Holy Communion
1 John 3.11-21
Psalm 100
John 1.43-end

Morning Prayer
Psalms 8, 48
Ruth 4.1-17
Colossians 4.2-end

Evening Prayer
If the Epiphany is observed on Saturday 6 January then Evening Prayer on the Eve of the Epiphany is used.
Otherwise the following are used.
Psalms 96, 97
Isaiah 62
John 2.13-end

Evening Prayer on the Eve of the Epiphany
Psalms 96, 97
Isaiah 49.1-13
John 4.7-26

Additional Weekday Lectionary
At Evening Prayer the readings for the Eve of the Epiphany are used. At other services, the following readings are used
Isaiah 12
2 Corinthians 2.12-end

",3
"CW* Epiphany","06/01/2024",TRUE,"If the Epiphany is celebrated on Saturday 6 January:

The Epiphany

https://almanac.oremus.org/2024-01-06

Principal Feast

Principal Service
Isaiah 60.1-6
Psalm 72.[1-9] 10-15
Ephesians 3.1-12
Matthew 2.1-12

Third Service
Jeremiah 31.7-14
John 1.29-34
Morning Psalms
Psalms 132, 113

Second Service
Baruch 4.36 - end of 5 or 
Isaiah 60.1-9
John 2.1-11
Evening Psalms
Psalms 98, 100

(or) Evening Prayer on the Eve of the Baptism of Christ
Psalm 36
Isaiah 61
Titus 2.11-14; 3.4-7

",3
"CW (or)","06/01/2024",TRUE,"If the Epiphany is celebrated on Sunday 7 January:

Holy Communion
1 John 5.5-13
Psalm 147.13-end
Mark 1.7-11

Morning Prayer
Psalms 99, 147.1-12
Baruch 1.15 - 2.10 (or) 
Jeremiah 23.1-8
Matthew 20.1-16

Evening Prayer on the Eve of the Epiphany
Psalms 96, 97
Isaiah 49.1-13
John 4.7-26

Additional Weekday Lectionary
At Evening Prayer the readings for the Eve of the Epiphany are used. At other services, the following readings are used:
Genesis 25.19-end
Ephesians 1.1-6

",3
"CW* Baptism of Christ","07/01/2024",TRUE,"If the Epiphany is celebrated on Saturday 6 January:
The Baptism of Christ
The First Sunday of Epiphany

https://almanac.oremus.org/2024-01-07

Principal Service
Genesis 1.1-5
Psalm 29
Acts 19.1-7
Mark 1.4-11

Third Service
Psalm 89.19-29
1 Samuel 16.1-3, 13
John 1.29-34

Second Service
Psalms 46, 47
Isaiah 42.1-9
Ephesians 2.1-10
Gospel at Holy Communion:
Matthew 3.13-17

",3
"CW* (or) The Epiphany","07/01/2024",TRUE,"If the Epiphany is celebrated on Sunday 7 January:
The Epiphany

Principal Feast

Principal Service
Isaiah 60.1-6
Psalm 72.[1-9] 10-15
Ephesians 3.1-12
Matthew 2.1-12

Third Service
Jeremiah 31.7-14
John 1.29-34
Morning Psalms
Psalms 132, 113

Second Service
Baruch 4.36 - end of 5 or 
Isaiah 60.1-9
John 2.1-11
Evening Psalms
Psalms 98, 100

",3
"CW ","08/01/2024",TRUE,"If the Epiphany is celebrated on Saturday 6 January:

https://almanac.oremus.org/2024-01-08

Holy Communion
DEL week 1
1 Samuel 1.1-8
Psalm 116.10-15
Mark 1.14-20

Morning Prayer
Psalms 2, 110 (or) 71
Genesis 1.1-19
Matthew 21.1-17

Evening Prayer
Psalms 34, 36 (or) 72, 75
Amos 1
1 Corinthians 1.1-17

Additional Weekday Lectionary
Isaiah 41.14-20
John 1.29-34

",3
"CW* (or) Baptism of Christ","08/01/2024",TRUE,"If the Epiphany is celebrated on Sunday 7 January:
The Baptism of Christ
The First Sunday of Epiphany

https://almanac.oremus.org/2024-01-08

Principal Service
Genesis 1.1-5
Psalm 29
Acts 19.1-7
Mark 1.4-11

Third Service
Psalm 89.19-29
1 Samuel 16.1-3, 13
John 1.29-34

Second Service
Psalms 46, 47
Isaiah 42.1-9
Ephesians 2.1-10
Gospel at Holy Communion:
Matthew 3.13-17

",3
"CW ","09/01/2024",TRUE,"https://almanac.oremus.org/2024-01-09

Holy Communion
1 Samuel 1.9-20
Canticle: 1 Samuel 2.1, 4-8 or 
Magnificat
Mark 1.21-28

Morning Prayer
Psalms 8, 9 (or) 73
Genesis 1.20 - 2.3
Matthew 21.18-32

Evening Prayer
Psalms 45, 46 (or) 74
Amos 2
1 Corinthians 1.18-end

Additional Weekday Lectionary
Exodus 17.1-7
Acts 8.26-end

",3
"CW William Laud, 1645","10/01/2024",TRUE,"William Laud, Archbishop of Canterbury, 1645

https://almanac.oremus.org/2024-01-10

Holy Communion
1 Samuel 3.1-10, 19-20
Psalm 40.1-4, 7-10
Mark 1.29-39

Morning Prayer
Psalms 19, 20 (or) 77
Genesis 2.4-end
Matthew 21.33-end

Evening Prayer
Psalms 47, 48 (or) 119.81-104
Amos 3
1 Corinthians 2

Additional Weekday Lectionary
Exodus 15.1-19
Colossians 2.8-15

",3
"CW Mary Slessor, 1915","11/01/2024",TRUE,"Mary Slessor, Missionary in West Africa, 1915

https://almanac.oremus.org/2024-01-11

Holy Communion
1 Samuel 4.1-11
Psalm 44.10-15, 24-25
Mark 1.40-end

Morning Prayer
Psalms 21, 24 (or) 78.1-39*
Genesis 3
Matthew 22.1-14

Evening Prayer
Psalms 61, 65 (or) 78.40-end*
Amos 4
1 Corinthians 3

Additional Weekday Lectionary
Zechariah 6.9-15
1 Peter 2.4-10

",3
"CW Aelred of Hexham, 1167; Benedict Biscop, 689","12/01/2024",TRUE,"Aelred of Hexham, Abbot of Rievaulx, 1167
Benedict Biscop, Abbot of Wearmouth, Scholar, 689

https://almanac.oremus.org/2024-01-12

Exciting Holiness
Ecclesiasticus 15.1-6
Psalm 131
Philippians 3.7-14
Luke 12.32-37

Holy Communion
1 Samuel 8.4-7, 10-end
Psalm 89.15-18
Mark 2.1-12

Morning Prayer
Psalms 67, 72 (or) 55
Genesis 4.1-16, 25-26
Matthew 22.15-33

Evening Prayer
Psalm 68 (or) 69
Amos 5.1-17
1 Corinthians 4

Additional Weekday Lectionary
Isaiah 51.7-16
Galatians 6.14-18

",3
"CW Hilary of Poitiers, 367; Kentigern (Mungo), 603; George Fox, 1691","13/01/2024",TRUE,"Hilary, Bishop of Poitiers, Teacher of the Faith, 367
Kentigern (Mungo), Missionary Bishop in Strathclyde and Cumbria, 603
George Fox, Founder of the Society of Friends (the Quakers), 1691

https://almanac.oremus.org/2024-01-13

Exciting Holiness
Isaiah 28.23-29
Psalm 43.1, 2a, 3-end
1 John 2.18-25
John 8.25-32

Holy Communion
1 Samuel 9.1-4, 17-19, 10.1a
Psalm 21.1-6
Mark 2.13-17

Morning Prayer
Psalms 29, 33 (or) 76, 79
Genesis 6.1-10
Matthew 22.34-end

Evening Prayer
Psalms 84, 85 (or) 81, 84
Amos 5.18-end
1 Corinthians 5

Additional Weekday Lectionary
Leviticus 16.11-22
Hebrews 10.19-25

",3
"CW* Epiphany 2","14/01/2024",TRUE,"The Second Sunday of Epiphany

https://almanac.oremus.org/2024-01-14

Principal Service
1 Samuel 3.1-10 [11-20]
Psalm 139.1-5, 12-18*
Revelation 5.1-10
John 1.43-end

Third Service
Psalm 145.1-12
Isaiah 62.1-5
1 Corinthians 6.11-20

Second Service
Psalm 96
Isaiah 60.9-end
Hebrews 6.17 - 7.10
Gospel at Holy Communion:
Matthew 8.5-13

",3
"CW ","15/01/2024",TRUE,"https://almanac.oremus.org/2024-01-15

Holy Communion
DEL week 2
1 Samuel 15.16-23
Psalm 50.8-10, 16-17, 24
Mark 2.18-22

Morning Prayer
Psalms 145, 146 (or) 80, 82
Genesis 6.11 - 7.10
Matthew 24.1-14

Evening Prayer
Psalm 71 (or) 85, 86
Amos 6
1 Corinthians 6.1-11

Additional Weekday Lectionary
1 Kings 17.8-16
Mark 8.1-10

",3
"CW ","16/01/2024",TRUE,"https://almanac.oremus.org/2024-01-16

Holy Communion
1 Samuel 16.1-13
Psalm 89.19-27
Mark 2.23-end

Morning Prayer
Psalms 132, 147.1-12 (or) 87, 89.1-18
Genesis 7.11-end
Matthew 24.15-28

Evening Prayer
Psalms 89.1-37 (or) 89.19-end
Amos 7
1 Corinthians 6.12-end

Additional Weekday Lectionary
1 Kings 19.1-9a
Mark 1.9-15

",3
"CW Antony of Egypt, 356; Charles Gore, 1932","17/01/2024",TRUE,"Antony of Egypt, Hermit, Abbot, 356
Charles Gore, Bishop, Founder of the Community of the Resurrection, 1932

https://almanac.oremus.org/2024-01-17

Exciting Holiness
1 Kings 17.2-6
Psalm 91.9-end
Philippians 3.7-14
Matthew 19.16-26

Holy Communion
1 Samuel 17.32-33, 37, 40-51
Psalm 144.1-2, 9-10
Mark 3.1-6

Morning Prayer
Psalms 81, 147.13-end (or) 119.105-128
Genesis 8.1-14
Matthew 24.29-end

Evening Prayer
Psalms 97, 98 (or) 91, 93
Amos 8
1 Corinthians 7.1-24

Additional Weekday Lectionary
1 Kings 19.9b-18
Mark 9.2-13

",3
